filme1,filme2,qtd_atores_compartilhados,atores_compartilhados,generos_compartilhados,similaridade,peso
"Core, The",Star Trek Into Darkness,1,Bruce Greenwood,Action|Sci-Fi,4,0.25
"Elephant Man, The",How to Make an American Quilt,1,Anne Bancroft,Drama,3,0.333333
October Sky,"Good Girl, The",1,Jake Gyllenhaal,Drama,3,0.333333
How the Grinch Stole Christmas (a.k.a. The Grinch),Hotel Transylvania,1,Molly Shannon,Children|Comedy,4,0.25
Superman Returns,21,2,Kevin Spacey|Kate Bosworth,,4,0.25
Easy A,La La Land,1,Emma Stone,Comedy|Romance,4,0.25
"Madness of King George, The",The Queen,1,Helen Mirren,Drama,3,0.333333
Evolution,The Hunger Games: Mockingjay - Part 2,1,Julianne Moore,Sci-Fi,3,0.333333
All the President's Men,"Natural, The",1,Robert Redford,Drama,3,0.333333
"Lovely Bones, The","Devil Wears Prada, The",1,Stanley Tucci,Drama,3,0.333333
Doc Hollywood,"People vs. Larry Flynt, The",1,Woody Harrelson,Comedy,3,0.333333
"Bourne Legacy, The",Mission: Impossible - Ghost Protocol,1,Jeremy Renner,Action|Adventure|IMAX|Thriller,6,0.166667
"Mosquito Coast, The","Madness of King George, The",1,Helen Mirren,Drama,3,0.333333
"House of the Spirits, The","Devil Wears Prada, The",1,Meryl Streep,Drama,3,0.333333
Flash Gordon,Robin Hood: Prince of Thieves,1,Brian Blessed,Adventure,3,0.333333
"Fisher King, The",Night at the Museum: Battle of the Smithsonian,1,Robin Williams,Comedy,3,0.333333
Affliction,"Thin Red Line, The",1,Nick Nolte,Drama,3,0.333333
Reality Bites,Madagascar: Escape 2 Africa,1,Ben Stiller,Comedy,3,0.333333
Forgetting Sarah Marshall,Adventureland,1,Bill Hader,Comedy,3,0.333333
Suicide Kings,Man on Fire,1,Christopher Walken,Crime|Drama|Mystery|Thriller,6,0.166667
Desperately Seeking Susan,Evita,1,Madonna,Drama,3,0.333333
Déjà Vu (Deja Vu),National Treasure: Book of Secrets,1,Bruce Greenwood,Action,3,0.333333
Bicentennial Man,"6th Day, The",1,Wendy Crewson,Sci-Fi,3,0.333333
Mission: Impossible - Ghost Protocol,Spectre,1,Léa Seydoux,Action|Adventure,4,0.25
"Cell, The",Escape Plan,1,Vincent D'Onofrio,Thriller,3,0.333333
Moneyball,Passengers,1,Chris Pratt,Drama,3,0.333333
Manhattan,"House of the Spirits, The",1,Meryl Streep,Drama|Romance,4,0.25
Young Guns,Get Smart,1,Terence Stamp,Action|Comedy,4,0.25
Chariots of Fire,"Sweet Hereafter, The",1,Ian Holm,Drama,3,0.333333
Stripes,Brewster's Millions,1,John Candy,Comedy,3,0.333333
"Long Kiss Goodnight, The",Coach Carter,1,Samuel L. Jackson,Drama,3,0.333333
Finding Neverland,Revolutionary Road,1,Kate Winslet,Drama,3,0.333333
Lethal Weapon 4,Bad Company,1,Chris Rock,Action|Comedy|Crime,5,0.2
Mystery Men,Queen of the Damned,1,Lena Olin,Fantasy,3,0.333333
Ravenous,"Hurt Locker, The",1,Guy Pearce,Thriller,3,0.333333
Ghosts of Mars,Argo,1,Clea DuVall,Thriller,3,0.333333
Ghostbusters II,Pixels,1,Dan Aykroyd,Comedy|Sci-Fi,4,0.25
Sleeper,Deconstructing Harry,1,Woody Allen,Comedy,3,0.333333
101 Dalmatians,Allegiant: Part 1,1,Jeff Daniels,Adventure,3,0.333333
Defiance,"Girl with the Dragon Tattoo, The",1,Daniel Craig,Drama|Thriller,4,0.25
Back to School,Kiss Kiss Bang Bang,1,Robert Downey Jr.,Comedy,3,0.333333
National Treasure: Book of Secrets,Red,1,Helen Mirren,Action,3,0.333333
Wolf,U.S. Marshals,1,Kate Nelligan,Thriller,3,0.333333
Intolerable Cruelty,Madagascar,1,Cedric The Entertainer,Comedy,3,0.333333
"Dude, Where's My Car?",Role Models,1,Seann William Scott,Comedy,3,0.333333
Knocked Up,Funny People,4,Leslie Mann|Seth Rogen|Jonah Hill|Iris Apatow,Comedy|Drama,10,0.1
To Die For,200 Cigarettes,1,Casey Affleck,Comedy|Drama,4,0.25
Deep Blue Sea,"Punisher, The",1,Thomas Jane,Action|Thriller,4,0.25
Metro,Runaway Bride,1,Donal Logue,Comedy,3,0.333333
21 Grams,"Science of Sleep, The (La science des rêves)",1,Charlotte Gainsbourg,Drama|Romance,4,0.25
Don Juan DeMarco,"Tourist, The",1,Johnny Depp,Drama,3,0.333333
Robin Hood: Prince of Thieves,Invictus,1,Morgan Freeman,Drama,3,0.333333
Say Anything...,Rosewood,1,Loren Dean,Drama,3,0.333333
"Sure Thing, The",Say Anything...,1,John Cusack,Comedy|Romance,4,0.25
Brokeback Mountain,Blue Valentine,1,Michelle Williams,Drama|Romance,4,0.25
Twin Peaks: Fire Walk with Me,Scream 2,1,Heather Graham,Mystery|Thriller,4,0.25
John Carter,Frozen,1,Ciarán Hinds,Adventure,3,0.333333
We Were Soldiers,Mission: Impossible III,1,Keri Russell,Action,3,0.333333
Elf,Death at a Funeral,1,Peter Dinklage,Comedy,3,0.333333
"Knight's Tale, A","Tourist, The",2,Rufus Sewell|Paul Bettany,,4,0.25
Captain America: The Winter Soldier,Pain & Gain,1,Anthony Mackie,Action,3,0.333333
"Dark Crystal, The",Return to Oz,1,Tim Rose,Adventure|Fantasy,4,0.25
Young Guns,Hot Shots!,1,Charlie Sheen,Action|Comedy,4,0.25
Uncle Buck,Cool Runnings,1,John Candy,Comedy,3,0.333333
"Towering Inferno, The",Don Juan DeMarco,1,Faye Dunaway,Drama,3,0.333333
Pretty in Pink,Lincoln,1,James Spader,Drama,3,0.333333
That Thing You Do!,Sahara,1,Steve Zahn,Comedy,3,0.333333
Sherlock Holmes: A Game of Shadows,Southpaw,1,Rachel McAdams,Action,3,0.333333
Meet the Fockers,Machete,1,Robert De Niro,Comedy,3,0.333333
Mad Max Beyond Thunderdome,We Were Soldiers,1,Mel Gibson,Action,3,0.333333
"Life Aquatic with Steve Zissou, The",Coffee and Cigarettes,1,Bill Murray,Comedy,3,0.333333
Sliver,Speed 2: Cruise Control,1,Colleen Camp,Thriller,3,0.333333
Superman IV: The Quest for Peace,"Quick and the Dead, The",1,Gene Hackman,Action,3,0.333333
To Die For,Freeway,1,Dan Hedaya,Comedy|Drama|Thriller,5,0.2
"Bourne Legacy, The",Captain America: Civil War,1,Jeremy Renner,Action|Thriller,4,0.25
"Planes, Trains & Automobiles",Canadian Bacon,1,John Candy,Comedy,3,0.333333
Bull Durham,"Perfect World, A",1,Kevin Costner,Drama,3,0.333333
Knocked Up,Sausage Party,3,Seth Rogen|Jonah Hill|Iris Apatow,Comedy,7,0.142857
Police Academy,Short Circuit,2,Steve Guttenberg|G.W. Bailey,Comedy,5,0.2
Blood Simple,"Man Who Wasn't There, The",1,Frances McDormand,Crime|Drama,4,0.25
Fast Times at Ridgemont High,The Falcon and the Snowman,1,Sean Penn,Drama,3,0.333333
Toys,Gosford Park,1,Michael Gambon,Comedy,3,0.333333
Passion Fish,Strange Days,1,Angela Bassett,Drama,3,0.333333
Once Upon a Time in China (Wong Fei Hung),Lethal Weapon 4,1,Jet Li,Action,3,0.333333
Robin Hood: Prince of Thieves,Hard Rain,2,Morgan Freeman|Christian Slater,,4,0.25
Kiss the Girls,"6th Day, The",1,Tony Goldwyn,Thriller,3,0.333333
Proof of Life,American Gangster,1,Russell Crowe,Drama,3,0.333333
"Giver, The","Devil Wears Prada, The",1,Meryl Streep,Drama,3,0.333333
Dead Men Don't Wear Plaid,"Planes, Trains & Automobiles",1,Steve Martin,Comedy,3,0.333333
Midnight Run,U.S. Marshals,1,Joe Pantoliano,Action|Crime|Thriller,5,0.2
Sherlock Holmes: A Game of Shadows,Bright,1,Noomi Rapace,Action|Crime,4,0.25
"Right Stuff, The",Proof of Life,1,Pamela Reed,Drama,3,0.333333
Starsky & Hutch,"Darjeeling Limited, The",1,Owen Wilson,Comedy,3,0.333333
"Truly, Madly, Deeply",Bend It Like Beckham,1,Juliet Stevenson,Drama|Romance,4,0.25
My Bodyguard,To Die For,1,Matt Dillon,Drama,3,0.333333
Fried Green Tomatoes,Pirates of Silicon Valley,1,Gailard Sartain,Drama,3,0.333333
Red Dragon,"Assassination of Jesse James by the Coward Robert Ford, The",1,Mary-Louise Parker,Crime,3,0.333333
Manhattan,"Giver, The",1,Meryl Streep,Drama,3,0.333333
Die Another Day,Surrogates,1,Rosamund Pike,Action|Thriller,4,0.25
Backdraft,Furious 7,1,Kurt Russell,Action,3,0.333333
Ghostbusters II,Who's Harry Crumb?,1,Annie Potts,Comedy,3,0.333333
And the Band Played On,"Cell, The",1,Patrick Bauchau,Drama,3,0.333333
Boys on the Side,Ever After: A Cinderella Story,1,Drew Barrymore,Comedy|Drama,4,0.25
"Devil's Own, The",127 Hours,1,Treat Williams,Drama|Thriller,4,0.25
"Magnificent Seven, The",Once Upon a Time in the West (C'era una volta il West),1,Charles Bronson,Western,3,0.333333
Snow Falling on Cedars,Burn After Reading,1,Richard Jenkins,Drama,3,0.333333
Feeling Minnesota,"People vs. Larry Flynt, The",1,Courtney Love,Drama,3,0.333333
"Elephant Man, The",Fracture,1,Anthony Hopkins,Drama,3,0.333333
Little Shop of Horrors,"Out-of-Towners, The",1,Steve Martin,Comedy,3,0.333333
101 Dalmatians,My Favorite Martian,1,Jeff Daniels,Comedy,3,0.333333
Fried Green Tomatoes,Angus,1,Kathy Bates,Comedy,3,0.333333
Hero (Ying xiong),Jet Li's Fearless (Huo Yuan Jia),1,Jet Li,Action|Drama,4,0.25
Do the Right Thing,"Station Agent, The",1,Paul Benjamin,Drama,3,0.333333
Rambo: First Blood Part II,Starsky & Hutch,1,George Cheung,Action|Thriller,4,0.25
Michael Clayton,2012,1,Tom McCarthy,Drama|Thriller,4,0.25
Free Willy 2: The Adventure Home,Lone Star,1,Elizabeth Peña,Drama,3,0.333333
Predator 2,Point Break,1,Gary Busey,Action|Thriller,4,0.25
Working Girl,"Ice Storm, The",1,Sigourney Weaver,Drama,3,0.333333
Stripes,Fatal Instinct,1,Sean Young,Comedy,3,0.333333
Saturday Night Fever,Moonstruck,1,Julie Bovasso,Comedy|Romance,4,0.25
Forget Paris,America's Sweethearts,1,Billy Crystal,Comedy|Romance,4,0.25
Solaris,Up in the Air,1,George Clooney,Drama|Romance,4,0.25
Nick of Time,Sweeney Todd: The Demon Barber of Fleet Street,1,Johnny Depp,Thriller,3,0.333333
Little Shop of Horrors,Hoodwinked!,1,Jim Belushi,Comedy,3,0.333333
Bad Boys II,Men in Black III (M.III.B.) (M.I.B.³),1,Will Smith,Action|Comedy,4,0.25
"Insider, The",Beginners,1,Christopher Plummer,Drama,3,0.333333
Blame It on Rio,Beavis and Butt-Head Do America,1,Demi Moore,Comedy,3,0.333333
Man on the Moon,Heist,1,Danny DeVito,Drama,3,0.333333
Finding Neverland,Little Children,1,Kate Winslet,Drama,3,0.333333
Under Siege,Volcano,1,Tommy Lee Jones,Action|Drama|Thriller,5,0.2
Transformers: The Movie,Star Trek V: The Final Frontier,1,Leonard Nimoy,Sci-Fi,3,0.333333
"Whole Nine Yards, The",Saving Silverman (Evil Woman),1,Amanda Peet,Comedy,3,0.333333
From Here to Eternity,"Dirty Dozen, The",1,Ernest Borgnine,Drama|War,4,0.25
My Blue Heaven,Home Alone 2: Lost in New York,1,Daniel Stern,Comedy,3,0.333333
Broadcast News,In & Out,1,Joan Cusack,Comedy,3,0.333333
WarGames,Richard III,1,John Wood,Drama,3,0.333333
"Pelican Brief, The",Big Night,1,Stanley Tucci,Drama,3,0.333333
"World According to Garp, The",Dangerous Liaisons,2,Glenn Close|Swoosie Kurtz,Drama|Romance,6,0.166667
"Man Who Would Be King, The",Finding Forrester,1,Sean Connery,Drama,3,0.333333
Hero,"Long Kiss Goodnight, The",1,Geena Davis,Drama,3,0.333333
Fried Green Tomatoes,Mad Love,1,Chris O'Donnell,Drama,3,0.333333
This Is the End,Wreck-It Ralph,1,Mindy Kaling,Comedy,3,0.333333
Milk Money,Black Sheep,1,Michael Patrick Carter,Comedy,3,0.333333
Live and Let Die,Moonraker,3,Roger Moore|Bernard Lee|Lois Maxwell,Action|Adventure|Thriller,9,0.111111
Black Panther,Avengers: Infinity War - Part I,1,Chadwick Boseman,Action|Adventure|Sci-Fi,5,0.2
21,Horrible Bosses,1,Kevin Spacey,Crime,3,0.333333
St. Elmo's Fire,G.I. Jane,1,Demi Moore,Drama,3,0.333333
"Sum of All Fears, The",Cinderella Man,1,Bruce McGill,Drama,3,0.333333
Carlito's Way,88 Minutes,1,Al Pacino,Crime|Drama,4,0.25
Entrapment,"Art of War, The",1,Maury Chaykin,Thriller,3,0.333333
Blue Streak,Burn After Reading,1,Olek Krupa,Comedy,3,0.333333
After Hours,Home Alone 2: Lost in New York,2,John Heard|Catherine O'Hara,Comedy,5,0.2
Don Juan DeMarco,Blue Streak,1,Richard C. Sarafian,Comedy,3,0.333333
Ghostbusters II,Baby Mama,1,Sigourney Weaver,Comedy,3,0.333333
Beautiful Girls,Down Periscope,1,Lauren Holly,Comedy,3,0.333333
First Blood (Rambo: First Blood),Rambo (Rambo 4),1,Sylvester Stallone,Action|Drama|Thriller,5,0.2
"Fan, The",21 Grams,1,Benicio Del Toro,Drama|Thriller,4,0.25
Rosencrantz and Guildenstern Are Dead,What About Bob?,1,Richard Dreyfuss,Comedy,3,0.333333
Strange Days,Feeling Minnesota,1,Vincent D'Onofrio,Drama,3,0.333333
"People vs. Larry Flynt, The",Semi-Pro,1,Woody Harrelson,Comedy,3,0.333333
Behind Enemy Lines,Mission: Impossible - Ghost Protocol,1,Vladimir Mashkov,Action,3,0.333333
Grandma's Boy,Knocked Up,1,Jonah Hill,Comedy,3,0.333333
"Phantom of the Opera, The",Frozen,1,Ciarán Hinds,Musical|Romance,4,0.25
Lara Croft Tomb Raider: The Cradle of Life,Wanted,1,Angelina Jolie,Action|Thriller,4,0.25
Rosewood,"Insider, The",1,Bruce McGill,Drama,3,0.333333
"Knight's Tale, A","Legend of Zorro, The",1,Rufus Sewell,Action,3,0.333333
Courage Under Fire,Proof of Life,1,Meg Ryan,Drama,3,0.333333
Star Trek V: The Final Frontier,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1,David Warner,Action,3,0.333333
Strange Days,"Salton Sea, The",2,Vincent D'Onofrio|Glenn Plummer,Crime|Drama|Thriller,7,0.142857
K-19: The Widowmaker,Indiana Jones and the Kingdom of the Crystal Skull,1,Harrison Ford,Action|Adventure,4,0.25
"Mission, The",Backdraft,1,Robert De Niro,Drama,3,0.333333
"Island, The","Men Who Stare at Goats, The",1,Ewan McGregor,Action,3,0.333333
Colors,Strange Days,1,Glenn Plummer,Action|Crime|Drama,5,0.2
Forgetting Sarah Marshall,Ice Age: Dawn of the Dinosaurs,1,Bill Hader,Comedy|Romance,4,0.25
Speed 2: Cruise Control,"Proposal, The",1,Sandra Bullock,Romance,3,0.333333
Final Destination,Final Destination 2,2,Ali Larter|Tony Todd,Thriller,5,0.2
"Rules of Attraction, The",Knocked Up,1,Jay Baruchel,Comedy|Drama|Romance,5,0.2
xXx: State of the Union,Inside Man,1,Willem Dafoe,Crime|Thriller,4,0.25
"Shipping News, The",K-PAX,1,Kevin Spacey,Drama,3,0.333333
Sherlock Holmes: A Game of Shadows,Alice Through the Looking Glass,1,Geraldine James,Adventure,3,0.333333
"Crow: City of Angels, The",Anaconda,1,Vincent Castellanos,Action|Thriller,4,0.25
Richie Rich,Black Sheep,1,Christine Ebersole,Comedy,3,0.333333
St. Elmo's Fire,"Sex, Lies, and Videotape",1,Andie MacDowell,Drama,3,0.333333
Reality Bites,Zero Effect,1,Ben Stiller,Comedy,3,0.333333
Teaching Mrs. Tingle,Go,1,Katie Holmes,Comedy,3,0.333333
"Happy, Texas",Runaway Bride,1,Paul Dooley,Comedy,3,0.333333
Lethal Weapon 4,Down to Earth,1,Chris Rock,Comedy,3,0.333333
Fahrenheit 451,Finding Neverland,1,Julie Christie,Drama,3,0.333333
RoboCop 2,RoboCop 3,1,Mario Machado,Action|Crime|Sci-Fi|Thriller,6,0.166667
"Cell, The",Hide and Seek,1,Dylan Baker,Horror|Thriller,4,0.25
Resident Evil,Machete,1,Michelle Rodriguez,Action|Thriller,4,0.25
"Elephant Man, The",Great Expectations,1,Anne Bancroft,Drama,3,0.333333
Captain America: The First Avenger,Jurassic World: Fallen Kingdom,1,Toby Jones,Action|Adventure|Sci-Fi|Thriller,6,0.166667
Marathon Man,Sphere,1,Dustin Hoffman,Thriller,3,0.333333
Time Bandits,Wing Commander,1,David Warner,Sci-Fi,3,0.333333
Ghostbusters II,Crossroads,1,Dan Aykroyd,Comedy,3,0.333333
Happiness,25th Hour,1,Philip Seymour Hoffman,Drama,3,0.333333
Serendipity,Click,1,Kate Beckinsale,Comedy|Romance,4,0.25
Manhattan,Clean Slate,1,Michael Murphy,Comedy,3,0.333333
Showgirls,"Substitute, The",1,Glenn Plummer,Drama,3,0.333333
The Count of Monte Cristo,The Man from U.N.C.L.E.,1,Henry Cavill,Action|Adventure,4,0.25
River's Edge,Say Anything...,1,Ione Skye,Drama,3,0.333333
Coyote Ugly,Sweet Home Alabama,1,Melanie Lynskey,Comedy|Romance,4,0.25
Hope Floats,"Virgin Suicides, The",1,Michael Paré,Drama|Romance,4,0.25
Spider-Man 3,Kung Fu Panda 3,1,J.K. Simmons,Action|Adventure,4,0.25
"Right Stuff, The",Stepmom,1,Ed Harris,Drama,3,0.333333
"Man Without a Face, The",Six Degrees of Separation,1,Richard Masur,Drama,3,0.333333
Mystery Men,"Mystery, Alaska",1,Hank Azaria,Comedy,3,0.333333
Heavenly Creatures,"Life of David Gale, The",1,Kate Winslet,Crime|Drama,4,0.25
Bicentennial Man,One Hour Photo,1,Robin Williams,Drama,3,0.333333
Fried Green Tomatoes,Valentine's Day,1,Kathy Bates,Comedy,3,0.333333
Extreme Measures,"Long Kiss Goodnight, The",1,David Morse,Drama|Thriller,4,0.25
Deep Blue Sea,Snakes on a Plane,1,Samuel L. Jackson,Action|Horror|Thriller,5,0.2
Beethoven's 2nd,Zootopia,1,Bonnie Hunt,Children|Comedy,4,0.25
"Addams Family, The",Penelope,1,Christina Ricci,Comedy|Fantasy,4,0.25
Charlie's Angels: Full Throttle,Transformers: Revenge of the Fallen,1,Shia LaBeouf,Action|Adventure,4,0.25
Sherlock Holmes: A Game of Shadows,The Drop,1,Noomi Rapace,Crime|Thriller,4,0.25
Bend It Like Beckham,"Good Year, A",1,Archie Panjabi,Comedy|Drama|Romance,5,0.2
Strange Days,Supernova,1,Angela Bassett,Sci-Fi|Thriller,4,0.25
"Equalizer, The",Quantum of Solace,1,David Harbour,Action|Thriller,4,0.25
Network,"Paper, The",1,Robert Duvall,Comedy|Drama,4,0.25
"Devil's Own, The",What Lies Beneath,1,Harrison Ford,Drama,3,0.333333
Sister Act,Clockers,1,Harvey Keitel,Crime,3,0.333333
Fresh,Captain America: The First Avenger,1,Samuel L. Jackson,Thriller,3,0.333333
Lean on Me,Robin Hood: Prince of Thieves,1,Morgan Freeman,Drama,3,0.333333
"Dude, Where's My Car?",American Wedding (American Pie 3),1,Seann William Scott,Comedy,3,0.333333
Tequila Sunrise,Escape from L.A.,1,Kurt Russell,Action|Thriller,4,0.25
"Pelican Brief, The",It Could Happen to You,1,Stanley Tucci,Drama|Romance,4,0.25
Extreme Measures,"Hurt Locker, The",1,David Morse,Drama|Thriller,4,0.25
"Secret Life of Walter Mitty, The",Night at the Museum,1,Ben Stiller,Comedy,3,0.333333
"Lord of the Rings, The",Hellboy II: The Golden Army,1,John Hurt,Adventure|Fantasy,4,0.25
"Killing Fields, The",Diabolique,1,Spalding Gray,Drama,3,0.333333
Ghostbusters II,"Cowboy Way, The",1,Ernie Hudson,Comedy,3,0.333333
Stealing Beauty,That Thing You Do!,1,Liv Tyler,Drama,3,0.333333
"Long Kiss Goodnight, The",Brokedown Palace,1,Tom Amandes,Drama,3,0.333333
Dirty Pretty Things,American Gangster,1,Chiwetel Ejiofor,Crime|Drama|Thriller,5,0.2
"Aristocats, The","Brave Little Toaster, The",1,Thurl Ravenscroft,Animation|Children,4,0.25
How the Grinch Stole Christmas (a.k.a. The Grinch),Horton Hears a Who!,1,Jim Carrey,Children|Comedy,4,0.25
Bend It Like Beckham,"Duchess, The",1,Keira Knightley,Drama|Romance,4,0.25
Memphis Belle,Argo,1,Tate Donovan,Drama,3,0.333333
That Thing You Do!,Chicken Little,1,Steve Zahn,Comedy,3,0.333333
Zootopia,Gifted,2,Octavia Spencer|Jenny Slate,,4,0.25
"Big Kahuna, The",K-PAX,1,Kevin Spacey,Drama,3,0.333333
Backdraft,"Squid and the Whale, The",1,William Baldwin,Drama,3,0.333333
Panic Room,American Ultra,1,Kristen Stewart,Thriller,3,0.333333
Knocked Up,War Dogs,1,Jonah Hill,Comedy,3,0.333333
"Cabin in the Woods, The",Friends with Benefits,1,Richard Jenkins,Comedy,3,0.333333
Monkey Shines,Captain America: The First Avenger,1,Stanley Tucci,Sci-Fi,3,0.333333
"Great Outdoors, The",Ghostbusters II,1,Dan Aykroyd,Comedy,3,0.333333
"History of Violence, A",National Treasure: Book of Secrets,1,Ed Harris,Action,3,0.333333
"Killing Fields, The",Transformers: Dark of the Moon,1,John Malkovich,War,3,0.333333
Moonrise Kingdom,Red 2,1,Bruce Willis,Comedy,3,0.333333
Orange County,Tropic Thunder,1,Jack Black,Comedy,3,0.333333
"6th Day, The",Jumper,1,Michael Rooker,Action|Sci-Fi|Thriller,5,0.2
Strange Days,How Stella Got Her Groove Back,1,Angela Bassett,Drama,3,0.333333
About Schmidt,Something's Gotta Give,1,Jack Nicholson,Comedy|Drama,4,0.25
Now You See Me,John Wick: Chapter Two,1,Common,Crime|Thriller,4,0.25
Red Eye,Zodiac,1,Brian Cox,Thriller,3,0.333333
It Could Happen to You,Big Night,1,Stanley Tucci,Comedy|Drama,4,0.25
"Cowboy Way, The","People vs. Larry Flynt, The",1,Woody Harrelson,Comedy|Drama,4,0.25
Restoration,Courage Under Fire,1,Meg Ryan,Drama,3,0.333333
Rosemary's Baby,Husbands and Wives,1,Mia Farrow,Drama,3,0.333333
"Shadow, The",Muppet Treasure Island,1,Tim Curry,Adventure,3,0.333333
Dangerous Liaisons,"Messenger: The Story of Joan of Arc, The",1,John Malkovich,Drama,3,0.333333
"Limey, The",Punch-Drunk Love,1,Luis Guzmán,Drama,3,0.333333
"Thin Red Line, The",Wristcutters: A Love Story,1,Mark Boone Junior,Drama,3,0.333333
Kiss the Girls,25th Hour,1,Brian Cox,Crime|Drama,4,0.25
Zodiac,Nocturnal Animals,1,Jake Gyllenhaal,Drama|Thriller,4,0.25
"Station Agent, The",Easy A,1,Patricia Clarkson,Comedy,3,0.333333
Boys Don't Cry,Kinsey,1,Peter Sarsgaard,Drama,3,0.333333
Three Days of the Condor (3 Days of the Condor),Spy Game,1,Robert Redford,Drama|Thriller,4,0.25
"Devil Wears Prada, The",It's Complicated,1,Meryl Streep,Comedy,3,0.333333
"Dark Crystal, The",Muppets From Space,3,Frank Oz|Dave Goelz|Steve Whitmire,,6,0.166667
Primary Colors,About Schmidt,1,Kathy Bates,Comedy|Drama,4,0.25
"Mystery, Alaska",Master and Commander: The Far Side of the World,1,Russell Crowe,Drama,3,0.333333
Frequency,Little Children,1,Noah Emmerich,Drama,3,0.333333
Throw Momma from the Train,Bullets Over Broadway,1,Rob Reiner,Comedy,3,0.333333
Clockers,8 Mile,1,Mekhi Phifer,Drama,3,0.333333
Road Trip,Josie and the Pussycats,1,Paulo Costanzo,Comedy,3,0.333333
Manhattan,It's Complicated,1,Meryl Streep,Comedy|Romance,4,0.25
"Evil Dead, The",Cloudy with a Chance of Meatballs,1,Bruce Campbell,Fantasy,3,0.333333
Pushing Tin,Anger Management,1,Kurt Fuller,Comedy,3,0.333333
Frequency,Don't Say a Word,1,Shawn Doyle,Thriller,3,0.333333
"Notebook, The","Vow, The",1,Rachel McAdams,Drama|Romance,4,0.25
"Rundown, The",Man on Fire,1,Christopher Walken,Action,3,0.333333
Drive Me Crazy,"Devil Wears Prada, The",1,Adrian Grenier,Comedy,3,0.333333
"Witches, The","Addams Family, The",1,Anjelica Huston,Children|Fantasy,4,0.25
"Big Easy, The",Argo,1,John Goodman,Thriller,3,0.333333
Toys,Fantastic Mr. Fox,1,Michael Gambon,Comedy,3,0.333333
My Stepmother Is an Alien,Ghostbusters II,1,Dan Aykroyd,Comedy|Sci-Fi,4,0.25
Anger Management,Something's Gotta Give,1,Jack Nicholson,Comedy,3,0.333333
That Thing You Do!,Captain Fantastic,1,Steve Zahn,Drama,3,0.333333
Hackers,"Tourist, The",1,Angelina Jolie,Thriller,3,0.333333
Husbands and Wives,Mighty Aphrodite,1,Woody Allen,Comedy|Drama,4,0.25
Event Horizon,Contagion,1,Laurence Fishburne,Sci-Fi|Thriller,4,0.25
Tootsie,After Hours,1,Teri Garr,Comedy,3,0.333333
101 Dalmatians,Flight of the Phoenix,1,Hugh Laurie,Adventure,3,0.333333
Windtalkers,Avengers: Age of Ultron,1,Mark Ruffalo,Action,3,0.333333
"Story of Us, The",Moonrise Kingdom,1,Bruce Willis,Comedy|Drama,4,0.25
"People vs. Larry Flynt, The",The Edge of Seventeen,1,Woody Harrelson,Comedy,3,0.333333
Mystery Men,Anchorman 2: The Legend Continues,1,Greg Kinnear,Comedy,3,0.333333
"Jewel of the Nile, The",Rambo III,1,Spyros Fokas,Action|Adventure,4,0.25
Heaven Can Wait,Sister Act,1,Joseph Maher,Comedy,3,0.333333
Strange Brew,Cars,1,Paul Dooley,Comedy,3,0.333333
Indecent Proposal,G.I. Jane,1,Demi Moore,Drama,3,0.333333
Rosencrantz and Guildenstern Are Dead,"Book of Eli, The",1,Gary Oldman,Drama,3,0.333333
Deep Blue Sea,Melancholia,1,Stellan Skarsgård,Sci-Fi,3,0.333333
Cars,"You, Me and Dupree",1,Owen Wilson,Comedy,3,0.333333
Falling Down,Something to Talk About,1,Robert Duvall,Drama,3,0.333333
Strange Days,"Judge, The",1,Vincent D'Onofrio,Drama,3,0.333333
Zodiac,Enemy,1,Jake Gyllenhaal,Thriller,3,0.333333
Devil in a Blue Dress,"Book of Eli, The",2,Denzel Washington|Jennifer Beals,,4,0.25
Bull Durham,Bob Roberts,1,Tim Robbins,Comedy,3,0.333333
"Knight's Tale, A",Death at a Funeral,1,Alan Tudyk,Comedy,3,0.333333
Coraline,"Golden Compass, The",1,Ian McShane,Fantasy,3,0.333333
"Other Guys, The",The Lego Movie,1,Will Ferrell,Action|Comedy,4,0.25
National Lampoon's Senior Trip,Zootopia,1,Tommy Chong,Comedy,3,0.333333
Constantine,Push,1,Djimon Hounsou,Thriller,3,0.333333
Elf,Anchorman 2: The Legend Continues,1,Will Ferrell,Comedy,3,0.333333
"Glimmer Man, The","Long Kiss Goodnight, The",1,Brian Cox,Action|Thriller,4,0.25
Something Wild,101 Dalmatians,1,Jeff Daniels,Comedy,3,0.333333
Silkwood,"Devil Wears Prada, The",1,Meryl Streep,Drama,3,0.333333
Joe Versus the Volcano,That Thing You Do!,1,Tom Hanks,Comedy,3,0.333333
Private Benjamin,Down Periscope,1,Harry Dean Stanton,Comedy,3,0.333333
Down Periscope,Rango,1,Harry Dean Stanton,Comedy,3,0.333333
Bachelor Party,That Thing You Do!,1,Tom Hanks,Comedy,3,0.333333
Rocky IV,Beverly Hills Cop II,1,Brigitte Nielsen,Action,3,0.333333
"Cider House Rules, The","Legend of Bagger Vance, The",1,Charlize Theron,Drama,3,0.333333
"Switch, The",Zootopia,1,Jason Bateman,Comedy,3,0.333333
Rush Hour 2,Rush Hour 3,2,Jackie Chan|Chris Tucker,Action|Comedy,6,0.166667
